"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Unit1BegExp1"
"07/18/2015 16:44:55:293 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"219","50","4","60","267","267"
"220","50","4","60","434","434"
"221","50","4","60","318","318"
"222","50","4","60","412","412"
"224","50","4","60","448","448"
"223","50","4","60","414","414"
"225","50","4","60","328","328"
"226","50","4","60","482","482"
"227","50","4","60","407","407"
"228","50","4","60","314","314"
"229","50","4","60","463","463"
"230","50","4","60","402","402"
"231","50","4","60","336","336"
"232","50","4","60","347","347"
"233","50","4","60","500","500"
"234","50","4","60","330","330"
"235","50","4","60","430","430"
"237","50","4","60","433","433"
"236","50","4","60","390","390"
"238","50","4","60","415","415"
"239","50","4","60","346","346"
"240","50","4","60","377","377"
"241","50","4","60","411","411"
"242","50","4","60","415","415"
"243","50","4","60","390","390"
"244","50","4","60","386","386"
"245","50","4","60","446","446"
"246","50","4","60","522","522"
"247","50","4","60","356","356"
"248","50","4","60","393","393"
"249","50","4","60","329","329"
"250","50","4","60","331","331"
"251","50","4","60","330","330"
"252","50","4","60","444","444"
"253","50","4","60","412","412"
"254","50","4","60","396","396"
"256","50","4","60","386","386"
"255","50","4","60","511","511"
"257","50","4","60","515","515"
"259","50","4","60","361","361"
"258","50","4","60","460","460"
"260","50","4","60","356","356"
"262","50","4","60","347","347"
"261","50","4","60","448","448"
"263","50","4","60","384","384"
"265","50","4","60","361","361"
"264","50","4","60","493","493"
"266","50","4","60","332","332"
"267","50","4","60","334","334"
"268","50","4","60","393","393"
"269","50","4","60","368","368"
"270","50","4","60","457","457"
"271","50","4","60","352","352"
"272","50","4","60","342","342"
"274","50","4","60","349","349"
"273","50","4","60","405","405"
"275","50","4","60","411","411"
"276","50","4","60","481","481"
"277","50","4","60","397","397"
"279","50","4","60","500","500"
"278","50","4","60","474","474"
"280","50","4","60","534","534"
"281","50","4","60","298","298"
"282","50","4","60","348","348"
"283","50","4","60","257","257"
"284","50","4","60","395","395"
"285","50","4","60","378","378"
"286","50","4","60","341","341"
"288","50","4","60","404","404"
"287","50","4","60","481","481"
"289","50","4","60","406","406"
"291","50","4","60","384","384"
"290","50","4","60","454","454"
"292","50","4","60","409","409"
"293","50","4","60","427","427"
"294","50","4","60","439","439"
"296","50","4","60","299","299"
"295","50","4","60","564","564"
"297","50","4","60","404","404"
"299","50","4","60","444","444"
"298","50","4","60","373","373"
"300","50","4","60","359","359"
"301","50","4","60","408","408"
"302","50","4","60","621","621"
"303","50","4","60","381","381"
"304","50","4","60","371","371"
"306","50","4","60","349","349"
"305","50","4","60","564","564"
"307","50","4","60","535","535"
"308","50","4","60","406","406"
"309","50","4","60","481","481"
"310","50","4","60","448","448"
"311","50","4","60","435","435"
"312","50","4","60","309","309"
"313","50","4","60","475","475"
"315","50","4","60","347","347"
"314","50","4","60","412","412"
"316","50","4","60","381","381"
"317","50","4","60","369","369"
"318","50","4","60","365","365"
"319","50","4","60","489","489"
"320","50","4","60","386","386"
"321","50","4","60","444","444"
"322","50","4","60","460","460"
"323","50","4","60","387","387"
"324","50","4","60","501","501"
"326","50","4","60","382","382"
"325","50","4","60","341","341"
"328","50","4","60","293","293"
"327","50","4","60","428","428"
"329","50","4","60","336","336"
"330","50","4","60","405","405"
"332","50","4","60","308","308"
"331","50","4","60","339","339"
"333","50","4","60","357","357"
"334","50","4","60","513","513"
"335","50","4","60","358","358"
"336","50","4","60","317","317"
"337","50","4","60","409","409"
"338","50","4","60","483","483"
"339","50","4","60","441","441"
"341","50","4","60","445","445"
"340","50","4","60","412","412"
"342","50","4","60","446","446"
"344","50","4","60","464","464"
"343","50","4","60","512","512"
"345","50","4","60","389","389"
"346","50","4","60","350","350"
"347","50","4","60","402","402"
"348","50","4","60","409","409"
"349","50","4","60","346","346"
"351","50","4","60","379","379"
"350","50","4","60","338","338"
"352","50","4","60","442","442"
"353","50","4","60","326","326"
"354","50","4","60","357","357"
"356","50","4","60","348","348"
"355","50","4","60","425","425"
"357","50","4","60","456","456"
"358","50","4","60","389","389"
"360","50","4","60","430","430"
"359","50","4","60","470","470"
"362","50","4","60","363","363"
"361","50","4","60","388","388"
"363","50","4","60","355","355"
"364","50","4","60","394","394"
"365","50","4","60","359","359"
"366","50","4","60","495","495"
"367","50","4","60","410","410"
"369","50","4","60","370","370"
"368","50","4","60","402","402"
"370","50","4","60","284","284"
"371","50","4","60","407","407"
